Date,Product,Quantity,Price
2025-10-01,Laptop,5,1200
2025-10-02,Smartphone,10,800
2025-10-03,Tablet,7,450
2025-10-04,Headphones,15,150
2025-10-05,Smartwatch,8,200
2025-10-06,Camera,4,500
2025-10-07,Printer,3,250
2025-10-08,Router,9,100
2025-10-09,Monitor,6,300
2025-10-10,Keyboard,12,50
2025-10-11,Mouse,20,25
2025-10-12,Speaker,7,75
2025-10-13,Charger,18,20
2025-10-14,Projector,2,600
2025-10-15,Scanner,5,225
2025-10-16,Drone,3,800
2025-10-17,Microphone,10,120
2025-10-18,VR Headset,2,400
2025-10-19,Hard Drive,15,85
2025-10-20,USB Drive,25,15
2025-10-21,Graphics Card,4,350
2025-10-22,Motherboard,5,250
2025-10-23,Power Supply,8,100
2025-10-24,RAM,10,75
2025-10-25,SSD,7,150
2025-10-26,CPU,3,300
2025-10-27,Cooling Fan,12,20
2025-10-28,Case,5,100
2025-10-29,Webcam,10,80
2025-10-30,Smart Glasses,1,1000
2025-10-31,Fitness Tracker,8,150
2025-11-01,E-Reader,4,120
2025-11-02,Game Console,3,400
2025-11-03,Joystick,15,40
2025-11-04,Game Controller,10,60
2025-11-05,TV,2,700
2025-11-06,Blu-ray Player,5,200
2025-11-07,Home Theater,1,1200
2025-11-08,Streaming Device,12,50
2025-11-09,Smart Home Hub,6,180
2025-11-10,Voice Assistant,10,100
2025-11-11,Security Camera,4,250
2025-11-12,Smart Light,20,30
2025-11-13,Smart Plug,18,35
2025-11-14,Smart Thermostat,5,200
2025-11-15,Robot Vacuum,2,500
2025-11-16,3D Printer,1,1500
2025-11-17,Electric Scooter,3,450
2025-11-18,Electric Bike,2,900
